date,sessions,conversions,total_revenue,avg_page_load_ms,bounce_count,conversion_rate,bounce_rate,revenue_per_session,avg_steps,conversion_rate_7d_ma,revenue_per_session_7d_ma,avg_page_load_ms_7d_ma,bounce_rate_7d_ma,conversion_rate_7d_std,revenue_per_session_7d_std,cr_zscore,rps_zscore,cr_anomaly,rps_anomaly
2024-01-01,10200,75,94680.53,1947.3,3625,0.007353,0.355392,9.28,2.312450980392157,0.007352941176470588,9.282404901960785,1947.2813333333336,0.3553921568627451,,,,,False,False
2024-01-02,10090,67,87045.69,1972.4,3455,0.00664,0.342418,8.63,2.3541129831516354,0.0069965895178685945,8.954665781010124,1959.8594426825239,0.34890519636992556,0.0005039573485690864,0.4634931097686582,-0.707,-0.707,False,False
2024-01-03,10268,65,83419.03,1947.4,3671,0.00633,0.357519,8.12,2.317101675107129,0.006774508581318967,8.677835556383066,1955.7144401677806,0.35177629894340967,0.0005243532508954923,0.5807907120492851,-0.847,-0.953,False,False
2024-01-04,10019,71,88997.03,1953.7,3513,0.007087,0.350634,8.88,2.3325681205709152,0.006852515331587588,8.729083075112431,1955.2031796617173,0.35149067315455795,0.0004556728726103829,0.48516368389662473,0.514,0.317,False,False
2024-01-05,10017,75,84740.07,1964.3,3549,0.007487,0.354298,8.46,2.3116701607267647,0.006979466592913078,8.675191587373563,1957.0302805767333,0.3520520773077135,0.0004861187497776772,0.4371033200316043,1.045,-0.493,False,False
2024-01-06,13064,80,91835.01,1960.8,4625,0.006124,0.354026,7.03,2.3165186772810777,0.006836838613098109,8.400930349143207,1957.6573806806518,0.35238111974050623,0.0005577684061193527,0.7772791073224662,-1.279,-1.764,False,False
2024-01-07,13146,89,115899.69,1955.3,4532,0.00677,0.344744,8.82,2.3354632587859423,0.0068273074096056,8.460275501717193,1957.3202979566527,0.3512900523858661,0.000509794634404429,0.7267199865410451,-0.112,0.49,False,False
2024-01-08,10146,71,95474.14,1958.4,3674,0.006998,0.362113,9.41,2.2980484920165583,0.006776577478366398,8.478507315306022,1958.913654831987,0.35225019398242197,0.0004644201396172826,0.7519460454656102,0.476,1.239,False,False
2024-01-09,10040,66,86876.95,1958.9,3436,0.006574,0.342231,8.65,2.341533864541833,0.006767072809797293,8.482243888057916,1956.9754544563693,0.3522234568138655,0.0004683397455230759,0.7528709108306367,-0.413,0.227,False,False
2024-01-10,10071,72,90709.86,1965.7,3573,0.007149,0.354781,9.01,2.3365107735080923,0.006884057621938509,8.60836687905192,1959.5816151968581,0.35183239258851984,0.00044263923487958436,0.756828045573814,0.599,0.527,False,False
2024-01-11,10112,73,89043.17,1965.0,3611,0.007219,0.3571,8.81,2.3155656645569622,0.006903001905828051,8.5973479654032,1961.1996834887416,0.3527562038593115,0.0004554030011055518,0.7527164486668835,0.694,0.277,False,False
2024-01-12,10461,74,97459.31,1954.0,3685,0.007074,0.352261,9.32,2.327502150845999,0.006843947887400867,8.719750442869579,1959.7174914584637,0.3524652158890187,0.00038896712388427,0.79506246561252,0.591,0.75,False,False
2024-01-13,13108,88,115967.0,1967.0,4479,0.006713,0.3417,8.85,2.3584833689350013,0.006928199132622792,8.97938127395472,1960.6077080462312,0.3507042720967458,0.0002437052598590306,0.28300899058419987,-0.881,-0.468,False,False
2024-01-14,13262,98,126411.9,1966.5,4697,0.00739,0.35417,9.53,2.3262705474287437,0.007016686820949447,9.081601514552016,1962.204506148359,0.3520508664135054,0.0002855940997672536,0.33815802991466076,1.306,1.332,False,False
2024-01-15,9982,60,74645.97,1950.6,3526,0.006011,0.353236,7.48,2.3234822680825484,0.006875685080557863,8.805605786898262,1961.090296461774,0.35078267733428187,0.00047637994355626554,0.6603508323947803,-1.815,-2.01,False,True
2024-01-16,10049,72,99049.48,1962.6,3573,0.007165,0.355558,9.86,2.3172454970643845,0.006960140344811399,8.977544035991647,1961.6221328727227,0.3526864903692495,0.0004662165198706079,0.7627659651088464,0.439,1.153,False,False
2024-01-17,10033,59,75045.4,1969.0,3551,0.005881,0.353932,7.48,2.3249277384630718,0.006778905151448666,8.759375525927364,1962.1000040021702,0.3525652003416476,0.0006060645028723848,0.9486733956403907,-1.482,-1.349,False,False
2024-01-18,10053,68,85313.67,1966.9,3416,0.006764,0.339799,8.49,2.3554162936436884,0.006713905785070578,8.713760654757563,1962.3772411693985,0.35009357038053196,0.0005745602311043991,0.9537381272529843,0.087,-0.238,False,False
2024-01-19,10188,62,87756.38,1958.0,3577,0.006086,0.351099,8.61,2.3329407145661563,0.006572719696787702,8.613368862357264,1962.9524457774357,0.3499276495833619,0.0005925046580112207,0.9159635157414937,-0.822,0.0,False,False
2024-01-20,12966,93,114049.0,1958.2,4554,0.007173,0.351226,8.8,2.3249267314514883,0.006638312246038951,8.606078142414264,1961.6908292905657,0.35128858655038464,0.0006346008638777814,0.9139945876087513,0.842,0.208,False,False
2024-01-21,12895,91,106148.46,1960.9,4562,0.007057,0.353781,8.23,2.3208995734780924,0.006590807221727711,8.420344612620797,1960.8926291854991,0.3512329760669243,0.0005790044292381315,0.8219725225105848,0.805,-0.229,False,False
2024-01-22,10068,63,76901.29,1953.4,3557,0.006257,0.353298,7.64,2.3311481922924115,0.006626040060213794,8.443220585359011,1961.2830168171147,0.3512417977806193,0.0005442929652551315,0.7930985345366676,-0.677,-1.015,False,False
2024-01-23,10167,64,78057.64,1961.0,3551,0.006295,0.349267,7.68,2.328513819219042,0.00650175199575555,8.131920373908363,1961.0586737111987,0.3503431506660167,0.0004981139095699545,0.5298028191791567,-0.415,-0.858,False,False
2024-01-24,10162,75,97918.24,1966.5,3514,0.00738,0.345798,9.64,2.3333989372170834,0.006716015264640792,8.439901627808057,1960.7026072322801,0.34918115736974137,0.000508853868291687,0.689978353780909,1.306,1.733,False,False
2024-01-25,9978,59,78223.4,1957.9,3535,0.005913,0.354279,7.84,2.3300260573261173,0.006594423638067659,8.34750133552672,1959.4089417428718,0.35124977876354607,0.0005905653519949388,0.7251290147091592,-1.154,-0.7,False,False
2024-01-26,10065,68,84295.12,1940.0,3526,0.006756,0.350323,8.38,2.3197218082463986,0.006690208574262722,8.313411847954814,1956.8428306363583,0.35113885999132854,0.0005470534872239387,0.7160814862459851,0.12,0.086,False,False
2024-01-27,13155,104,142501.41,1967.4,4710,0.007906,0.358039,10.83,2.3033067274800456,0.00679494200102019,8.604338329652142,1958.1627166929327,0.35211207204866535,0.0007028074356602884,1.1970121723119205,1.581,1.861,False,False
2024-01-28,13045,76,96127.49,1956.0,4552,0.005826,0.348946,7.37,2.328171713300115,0.006619083162652849,8.481075634487953,1957.4605571557393,0.3514214179363764,0.0007764605058628245,1.2831033627964818,-1.021,-0.867,False,False
2024-01-29,10163,74,85887.39,1964.6,3539,0.007281,0.348224,8.45,2.3365148086195022,0.0067653496237972885,8.597189718002324,1959.06162169908,0.35069661409941044,0.0007932380665225759,1.2297829073603765,0.65,-0.119,False,False
2024-01-30,10136,81,99903.81,1965.2,3558,0.007991,0.351026,9.86,2.326065509076559,0.007007698551846016,8.908444848469646,1959.6599980757662,0.3509478724762192,0.0008799509052639368,1.233946580525697,1.118,0.768,False,False
2024-01-31,10120,61,79582.24,1961.0,3525,0.006028,0.34832,7.86,2.332806324110672,0.006814445846463723,8.65532091369465,1958.8758160896111,0.3513081705986405,0.0009314845980245407,1.2416030235346993,-0.845,-0.637,False,False
2024-02-01,10230,70,93293.57,1961.6,3630,0.006843,0.354839,9.12,2.3159335288367546,0.006947247436018557,8.838180766409584,1959.4001970246939,0.3513880698793622,0.0008436757074752789,1.1948182119255948,-0.124,0.236,False,False
2024-02-02,10034,76,103776.02,1956.1,3471,0.007574,0.345924,10.34,2.348116404225633,0.007064127737974519,9.119232722538534,1961.6917662155963,0.35075963527039583,0.0008690695606787513,1.2949216862467117,0.587,0.945,False,False
2024-02-03,13174,84,102601.28,1961.4,4657,0.006376,0.353499,7.79,2.2989221193259453,0.006845621491406712,8.684329045210362,1960.827743862024,0.3501111421714124,0.0008126517606393302,1.1234942117742313,-0.578,-0.798,False,False
2024-02-04,13343,104,137741.62,1959.5,4746,0.007794,0.355692,10.32,2.3290864123510455,0.007126816081223526,9.106360859335068,1961.333189033833,0.35107488030078027,0.0007381682318999867,1.1016681589420034,0.904,1.104,False,False
2024-02-05,9998,68,76577.61,1956.4,3501,0.006801,0.35017,7.66,2.325665133026605,0.007058251181164333,8.993261568091823,1960.1706288398668,0.3513528923558697,0.0007436954700236402,1.2149751935900448,-0.345,-1.098,False,False
2024-02-06,10160,68,88641.84,1956.9,3570,0.006693,0.351378,8.72,2.3148622047244096,0.006872764797112301,8.831583811675818,1958.984524091664,0.35140316478136663,0.0006245690781065086,1.1547942875915826,-0.288,-0.093,False,False
2024-02-07,10144,63,76543.7,1957.5,3530,0.006211,0.347989,7.55,2.3306388012618298,0.006898893345562889,8.78613438928707,1958.4854529721376,0.3513558506224766,0.0005859545632993707,1.20442328344611,-1.175,-1.03,False,False
2024-02-08,10076,80,93921.15,1956.6,3567,0.00794,0.35401,9.32,2.3303890432711394,0.0070556131811107285,8.814943998164365,1957.771797295983,0.3512373960386043,0.0007033437210063896,1.216084772389758,1.257,0.416,False,False
